Problem, Block-Size,  Ants, Time,  Fitness  
Problem, Block-Size,  Ants, Time,  Fitness 
0, 256, 1024, 0.218277 , 21.000000 
0, 256, 1024, 0.157545 , 21.000000 
0, 256, 1024, 0.157507 , 21.000000 
0, 256, 1024, 0.157462 , 21.000000 
0, 256, 1024, 0.157902 , 21.000000 
0, 256, 2048, 0.183741 , 21.000000 
0, 256, 2048, 0.183697 , 21.000000 
0, 256, 2048, 0.183734 , 21.000000 
0, 256, 2048, 0.184197 , 21.000000 
0, 256, 2048, 0.184144 , 21.000000 
0, 256, 4096, 0.202114 , 21.000000 
0, 256, 4096, 0.201774 , 21.000000 
0, 256, 4096, 0.201713 , 21.000000 
0, 256, 4096, 0.201778 , 21.000000 
0, 256, 4096, 0.201755 , 21.000000 
0, 256, 8192, 0.245706 , 21.000000 
0, 256, 8192, 0.245700 , 21.000000 
0, 256, 8192, 0.245840 , 21.000000 
0, 256, 8192, 0.246142 , 21.000000 
0, 256, 8192, 0.246202 , 21.000000 

 End Of Execution 
Problem, Block-Size,  Ants, Time,  Fitness 
1, 256, 1024, 1.109395 , 66.000000 
1, 256, 1024, 1.034889 , 66.000000 
1, 256, 1024, 1.035555 , 66.000000 
1, 256, 1024, 1.034559 , 66.000000 
1, 256, 1024, 1.037329 , 66.000000 
1, 256, 2048, 1.275937 , 66.000000 
1, 256, 2048, 1.274918 , 66.000000 
1, 256, 2048, 1.275922 , 66.000000 
1, 256, 2048, 1.276268 , 66.000000 
1, 256, 2048, 1.276613 , 66.000000 
1, 256, 4096, 1.508330 , 66.000000 
1, 256, 4096, 1.513208 , 66.000000 
1, 256, 4096, 1.518406 , 66.000000 
1, 256, 4096, 1.519388 , 66.000000 
1, 256, 4096, 1.518061 , 66.000000 
1, 256, 8192, 1.867642 , 66.000000 
1, 256, 8192, 1.869347 , 66.000000 
1, 256, 8192, 1.875603 , 66.000000 
1, 256, 8192, 1.881807 , 66.000000 
1, 256, 8192, 1.880492 , 66.000000 

 End Of Execution 
Problem, Block-Size,  Ants, Time,  Fitness 
2, 256, 1024, 4.830577 , 133.000000 
2, 256, 1024, 4.762035 , 133.000000 
2, 256, 1024, 4.764329 , 133.000000 
2, 256, 1024, 4.759337 , 133.000000 
2, 256, 1024, 4.760845 , 133.000000 
2, 256, 2048, 5.827704 , 133.000000 
2, 256, 2048, 5.825613 , 133.000000 
2, 256, 2048, 5.823259 , 133.000000 
2, 256, 2048, 5.826019 , 133.000000 
2, 256, 2048, 5.825038 , 133.000000 
2, 256, 4096, 6.883247 , 133.000000 
2, 256, 4096, 6.881294 , 133.000000 
2, 256, 4096, 6.880719 , 133.000000 
2, 256, 4096, 6.880315 , 133.000000 
2, 256, 4096, 6.884152 , 133.000000 
2, 256, 8192, 8.517019 , 133.000000 
2, 256, 8192, 8.517727 , 133.000000 
2, 256, 8192, 8.516770 , 133.000000 
2, 256, 8192, 8.514401 , 133.000000 
2, 256, 8192, 8.511660 , 133.000000 

 End Of Execution 
Problem, Block-Size,  Ants, Time,  Fitness 
3, 256, 1024, 10.406902 , 200.000000 
3, 256, 1024, 10.336098 , 200.000000 
3, 256, 1024, 10.332325 , 200.000000 
3, 256, 1024, 10.317072 , 200.000000 
3, 256, 1024, 10.315302 , 200.000000 
3, 256, 2048, 12.515200 , 200.000000 
3, 256, 2048, 12.520326 , 200.000000 
3, 256, 2048, 12.520589 , 200.000000 
3, 256, 2048, 12.512216 , 200.000000 
3, 256, 2048, 12.509778 , 200.000000 
3, 256, 4096, 14.554889 , 200.000000 
3, 256, 4096, 14.561451 , 200.000000 
3, 256, 4096, 14.558357 , 200.000000 
3, 256, 4096, 14.570484 , 200.000000 
3, 256, 4096, 14.555416 , 200.000000 
3, 256, 8192, 17.978488 , 200.000000 
3, 256, 8192, 18.081283 , 200.000000 
3, 256, 8192, 18.081892 , 200.000000 
3, 256, 8192, 18.086581 , 200.000000 
3, 256, 8192, 18.077552 , 200.000000 

 End Of Execution 
