run, iterations, problem, colony size, Setup rand Kernel, read map, Distance Kernel, Iroulete , Route , Pheromone, Best Check,  Copy Data,Fitness ,Total Time,,
0,15,1,1024,0.00253,0.00292,2E-05,0.00054,0.00906,4E-05,4E-05,2E-05,6659.431533,0.293535,rand,0.000564
1,15,1,1024,9E-05,0.00012,2E-05,0.00052,0.00684,3E-05,3E-05,2E-05,6659.431533,0.105936,read,0.000678
2,15,1,1024,7E-05,0.00011,2E-05,0.00039,0.00658,3E-05,3E-05,2E-05,6659.431533,0.102052,dist,2E-05
3,15,1,1024,6E-05,0.00013,2E-05,0.00039,0.0065,3E-05,3E-05,2E-05,6659.431533,0.100518,roulete,0.000446
4,15,1,1024,7E-05,0.00011,2E-05,0.00039,0.00649,3E-05,3E-05,2E-05,6659.431533,0.100666,route,0.007094
0,,,,,,,,,,,,,,phero,3.2E-05
0,,,,,,,,,,,,,,check,3.2E-05
0,,,,,,,,,,,,,,cpy,2E-05
0,,,,,,,,,,,,,,total,0.1405414
0,15,1,2048,7E-05,0.00011,2E-05,0.00039,0.00653,4E-05,4E-05,2E-05,6659.431533,0.102893,rand,7E-05
1,15,1,2048,7E-05,0.00012,2E-05,0.00038,0.00653,4E-05,4E-05,2E-05,6659.431533,0.103038,read,0.000118
2,15,1,2048,7E-05,0.00012,2E-05,0.00039,0.00651,4E-05,4E-05,2E-05,6659.431533,0.102867,dist,2E-05
3,15,1,2048,7E-05,0.00012,2E-05,0.00039,0.00654,4E-05,4E-05,2E-05,6659.431533,0.103267,roulete,0.000388
4,15,1,2048,7E-05,0.00012,2E-05,0.00039,0.00652,4E-05,4E-05,2E-05,6659.431533,0.103138,route,0.006526
0,,,,,,,,,,,,,,phero,4E-05
0,,,,,,,,,,,,,,check,4E-05
0,,,,,,,,,,,,,,cpy,2E-05
0,,,,,,,,,,,,,,total,0.1030406
0,15,1,4096,8E-05,0.00011,2E-05,0.00039,0.00662,7E-05,7E-05,2E-05,6660.427163,0.108322,rand,8.8E-05
1,15,1,4096,9E-05,0.00012,2E-05,0.00039,0.00661,7E-05,7E-05,2E-05,6660.427163,0.108203,read,0.000118
2,15,1,4096,9E-05,0.00012,2E-05,0.00039,0.00662,7E-05,7E-05,2E-05,6660.427163,0.108409,dist,2E-05
3,15,1,4096,9E-05,0.00012,2E-05,0.00039,0.0066,7E-05,7E-05,2E-05,6660.427163,0.108139,roulete,0.00039
4,15,1,4096,9E-05,0.00012,2E-05,0.00039,0.00662,7E-05,7E-05,2E-05,6660.427163,0.108351,route,0.006614
0,,,,,,,,,,,,,,phero,7E-05
0,,,,,,,,,,,,,,check,7E-05
0,,,,,,,,,,,,,,cpy,2E-05
0,,,,,,,,,,,,,,total,0.1082848
0,15,1,8192,0.0001,0.00012,2E-05,0.00039,0.00958,0.00013,0.00013,3E-05,6659.431533,0.160449,rand,0.0001
1,15,1,8192,0.0001,0.00013,2E-05,0.00039,0.00964,0.00013,0.00013,7E-05,6659.431533,0.182458,read,0.000126
2,15,1,8192,0.0001,0.00014,2E-05,0.00039,0.00955,0.00013,0.00013,3E-05,6659.431533,0.160246,dist,2E-05
3,15,1,8192,0.0001,0.00012,2E-05,0.00039,0.00965,0.00013,0.00013,2E-05,6659.431533,0.161529,roulete,0.00039
