run;iterations;problem;ants;OptSolution;totaltime

 10; 50; 1; 1024; 3800; 0.02738
 10; 50; 1; 1024; 3800; 0.02103
 10; 50; 1; 1024; 3800; 0.02096
 10; 50; 1; 1024; 3800; 0.02099
 10; 50; 1; 1024; 3800; 0.02029
 10; 50; 1; 1024; 3800; 0.02030
 10; 50; 1; 1024; 3800; 0.02027
 10; 50; 1; 1024; 3800; 0.02023
 10; 50; 1; 1024; 3800; 0.02022
 10; 50; 1; 1024; 3800; 0.01970
 10; 50; 1; 2048; 3800; 0.02333
 10; 50; 1; 2048; 3800; 0.02335
 10; 50; 1; 2048; 3800; 0.02335
 10; 50; 1; 2048; 3800; 0.01816
 10; 50; 1; 2048; 3800; 0.01728
 10; 50; 1; 2048; 3800; 0.01722
 10; 50; 1; 2048; 3800; 0.01718
 10; 50; 1; 2048; 3800; 0.01720
 10; 50; 1; 2048; 3800; 0.01720
 10; 50; 1; 2048; 3800; 0.01703
 10; 50; 1; 4096; 3800; 0.02256
 10; 50; 1; 4096; 3800; 0.02230
 10; 50; 1; 4096; 3800; 0.02229
 10; 50; 1; 4096; 3800; 0.02229
 10; 50; 1; 4096; 3800; 0.02229
 10; 50; 1; 4096; 3800; 0.02230
 10; 50; 1; 4096; 3800; 0.02228
 10; 50; 1; 4096; 3800; 0.02240
 10; 50; 1; 4096; 3800; 0.02230
 10; 50; 1; 4096; 3800; 0.02230
 10; 50; 1; 8192; 3800; 0.03593
 10; 50; 1; 8192; 3800; 0.03593
 10; 50; 1; 8192; 3800; 0.03603
 10; 50; 1; 8192; 3800; 0.03604
 10; 50; 1; 8192; 3800; 0.03598
 10; 50; 1; 8192; 3800; 0.03606
 10; 50; 1; 8192; 3800; 0.03589
 10; 50; 1; 8192; 3800; 0.03591
 10; 50; 1; 8192; 3800; 0.03590
 10; 50; 1; 8192; 3800; 0.03589
 10; 50; 3; 1024; 4015; 0.08427
 10; 50; 3; 1024; 4015; 0.07834
 10; 50; 3; 1024; 4015; 0.07838
 10; 50; 3; 1024; 4015; 0.07797
 10; 50; 3; 1024; 4015; 0.07789
 10; 50; 3; 1024; 4015; 0.07794
 10; 50; 3; 1024; 4015; 0.07768
 10; 50; 3; 1024; 4015; 0.07752
 10; 50; 3; 1024; 4015; 0.07756
 10; 50; 3; 1024; 4015; 0.07776
 10; 50; 3; 2048; 4015; 0.08071
 10; 50; 3; 2048; 4015; 0.08414
 10; 50; 3; 2048; 4015; 0.08395
 10; 50; 3; 2048; 4015; 0.08361
 10; 50; 3; 2048; 4015; 0.08419
 10; 50; 3; 2048; 4015; 0.08382
 10; 50; 3; 2048; 4015; 0.08294
 10; 50; 3; 2048; 4015; 0.08299
 10; 50; 3; 2048; 4015; 0.08296
 10; 50; 3; 2048; 4015; 0.08313
 10; 50; 3; 4096; 4015; 0.08993
 10; 50; 3; 4096; 4015; 0.09065
 10; 50; 3; 4096; 4015; 0.09069
 10; 50; 3; 4096; 4015; 0.09125
 10; 50; 3; 4096; 4015; 0.08783
 10; 50; 3; 4096; 4015; 0.08764
 10; 50; 3; 4096; 4015; 0.08756
 10; 50; 3; 4096; 4015; 0.09111
 10; 50; 3; 4096; 4015; 0.08834
