run;iterations;problem;ants;OptSolution;totaltime

 10; 50; 1; 1024; 3800; 0.09602
 10; 50; 1; 1024; 3800; 0.05398
 10; 50; 1; 1024; 3800; 0.05386
 10; 50; 1; 1024; 3800; 0.05383
 10; 50; 1; 1024; 3800; 0.05384
 10; 50; 1; 1024; 3800; 0.05382
 10; 50; 1; 1024; 3800; 0.05385
 10; 50; 1; 1024; 3800; 0.05378
 10; 50; 1; 1024; 3800; 0.05388
 10; 50; 1; 1024; 3800; 0.05380
 10; 50; 1; 2048; 3800; 0.07394
 10; 50; 1; 2048; 3800; 0.07350
 10; 50; 1; 2048; 3800; 0.07362
 10; 50; 1; 2048; 3800; 0.07349
 10; 50; 1; 2048; 3800; 0.07359
 10; 50; 1; 2048; 3800; 0.07355
 10; 50; 1; 2048; 3800; 0.07365
 10; 50; 1; 2048; 3800; 0.07356
 10; 50; 1; 2048; 3800; 0.07357
 10; 50; 1; 2048; 3800; 0.07365
 10; 50; 1; 4096; 3800; 0.11312
 10; 50; 1; 4096; 3800; 0.11330
 10; 50; 1; 4096; 3800; 0.11385
 10; 50; 1; 4096; 3800; 0.11340
 10; 50; 1; 4096; 3800; 0.11334
 10; 50; 1; 4096; 3800; 0.11325
 10; 50; 1; 4096; 3800; 0.11313
 10; 50; 1; 4096; 3800; 0.11307
 10; 50; 1; 4096; 3800; 0.11302
 10; 50; 1; 4096; 3800; 0.11299
 10; 50; 1; 8192; 3800; 0.19612
 10; 50; 1; 8192; 3800; 0.19668
 10; 50; 1; 8192; 3800; 0.19601
 10; 50; 1; 8192; 3800; 0.19639
 10; 50; 1; 8192; 3800; 0.19613
 10; 50; 1; 8192; 3800; 0.19671
 10; 50; 1; 8192; 3800; 0.19600
 10; 50; 1; 8192; 3800; 0.19646
 10; 50; 1; 8192; 3800; 0.19592
 10; 50; 1; 8192; 3800; 0.19648
 10; 50; 3; 1024; 4015; 0.26326
 10; 50; 3; 1024; 4015; 0.22758
 10; 50; 3; 1024; 4015; 0.22768
 10; 50; 3; 1024; 4015; 0.22780
 10; 50; 3; 1024; 4015; 0.22781
 10; 50; 3; 1024; 4015; 0.22815
 10; 50; 3; 1024; 4015; 0.22763
 10; 50; 3; 1024; 4015; 0.22747
 10; 50; 3; 1024; 4015; 0.22689
 10; 50; 3; 1024; 4015; 0.22724
 10; 50; 3; 2048; 4015; 0.24910
 10; 50; 3; 2048; 4015; 0.24924
 10; 50; 3; 2048; 4015; 0.25007
 10; 50; 3; 2048; 4015; 0.25015
 10; 50; 3; 2048; 4015; 0.24934
 10; 50; 3; 2048; 4015; 0.24935
 10; 50; 3; 2048; 4015; 0.24918
 10; 50; 3; 2048; 4015; 0.24935
 10; 50; 3; 2048; 4015; 0.25065
 10; 50; 3; 2048; 4015; 0.24983
 10; 50; 3; 4096; 4015; 0.30343
 10; 50; 3; 4096; 4015; 0.30242
 10; 50; 3; 4096; 4015; 0.30234
 10; 50; 3; 4096; 4015; 0.30198
 10; 50; 3; 4096; 4015; 0.30213
 10; 50; 3; 4096; 4015; 0.30178
 10; 50; 3; 4096; 4015; 0.30262
 10; 50; 3; 4096; 4015; 0.30235
 10; 50; 3; 4096; 4015; 0.30196
 10; 50; 3; 4096; 4015; 0.30220
 10; 50; 3; 8192; 4015; 0.53794
 10; 50; 3; 8192; 4015; 0.53937
 10; 50; 3; 8192; 4015; 0.53912
 10; 50; 3; 8192; 4015; 0.53985
 10; 50; 3; 8192; 4015; 0.53931
 10; 50; 3; 8192; 4015; 0.54026
 10; 50; 3; 8192; 4015; 0.53909
 10; 50; 3; 8192; 4015; 0.53901
 10; 50; 3; 8192; 4015; 0.54151
 10; 50; 3; 8192; 4015; 0.54037
 10; 50; 4; 1024; 6120; 0.38147
 10; 50; 4; 1024; 6120; 0.37050
 10; 50; 4; 1024; 6120; 0.37109
 10; 50; 4; 1024; 6120; 0.37059
 10; 50; 4; 1024; 6120; 0.37047
 10; 50; 4; 1024; 6120; 0.37019
 10; 50; 4; 1024; 6120; 0.37020
 10; 50; 4; 1024; 6120; 0.37123
 10; 50; 4; 1024; 6120; 0.37203
 10; 50; 4; 1024; 6120; 0.37170
 10; 50; 4; 2048; 6120; 0.39309
 10; 50; 4; 2048; 6120; 0.39225
 10; 50; 4; 2048; 6120; 0.39380
 10; 50; 4; 2048; 6120; 0.39356
 10; 50; 4; 2048; 6120; 0.39231
 10; 50; 4; 2048; 6120; 0.39334
 10; 50; 4; 2048; 6120; 0.39375
 10; 50; 4; 2048; 6120; 0.39324
 10; 50; 4; 2048; 6120; 0.39258
 10; 50; 4; 2048; 6120; 0.39300
 10; 50; 4; 4096; 6120; 0.46359
 10; 50; 4; 4096; 6120; 0.46292
