run;iterations;problem;ants;OptSolution;totaltime

 10; 50; 1; 1024; 3800; 0.02112
 10; 50; 1; 1024; 3800; 0.01050
 10; 50; 1; 1024; 3800; 0.01027
 10; 50; 1; 1024; 3800; 0.01020
 10; 50; 1; 1024; 3800; 0.01014
 10; 50; 1; 1024; 3800; 0.01028
 10; 50; 1; 1024; 3800; 0.01022
 10; 50; 1; 1024; 3800; 0.01003
 10; 50; 1; 1024; 3800; 0.01020
 10; 50; 1; 1024; 3800; 0.01013
 10; 50; 1; 2048; 3800; 0.01309
 10; 50; 1; 2048; 3800; 0.01303
 10; 50; 1; 2048; 3800; 0.01296
 10; 50; 1; 2048; 3800; 0.01296
 10; 50; 1; 2048; 3800; 0.01336
 10; 50; 1; 2048; 3800; 0.01313
 10; 50; 1; 2048; 3800; 0.01308
 10; 50; 1; 2048; 3800; 0.01307
 10; 50; 1; 2048; 3800; 0.01301
 10; 50; 1; 2048; 3800; 0.01297
 10; 50; 1; 4096; 3800; 0.01947
 10; 50; 1; 4096; 3800; 0.01926
 10; 50; 1; 4096; 3800; 0.01929
 10; 50; 1; 4096; 3800; 0.01922
 10; 50; 1; 4096; 3800; 0.01919
 10; 50; 1; 4096; 3800; 0.01903
 10; 50; 1; 4096; 3800; 0.01903
 10; 50; 1; 4096; 3800; 0.01966
 10; 50; 1; 4096; 3800; 0.01920
 10; 50; 1; 4096; 3800; 0.01918
 10; 50; 1; 8192; 3800; 0.03182
 10; 50; 1; 8192; 3800; 0.03144
 10; 50; 1; 8192; 3800; 0.03138
 10; 50; 1; 8192; 3800; 0.03134
 10; 50; 1; 8192; 3800; 0.03132
 10; 50; 1; 8192; 3800; 0.03146
 10; 50; 1; 8192; 3800; 0.03124
 10; 50; 1; 8192; 3800; 0.03130
 10; 50; 1; 8192; 3800; 0.03123
 10; 50; 1; 8192; 3800; 0.03123
 10; 50; 3; 1024; 4015; 0.05268
 10; 50; 3; 1024; 4015; 0.03907
 10; 50; 3; 1024; 4015; 0.03881
 10; 50; 3; 1024; 4015; 0.03845
 10; 50; 3; 1024; 4015; 0.03875
 10; 50; 3; 1024; 4015; 0.03836
